GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-2),Winner(PlayerIdx)
-778233772,SushiGo,3,GAME_OVER,83,0,3,2,Basic MCTS,56.0,51.0,47.0,ImprovedBasicMCTS,Basic MCTS,1,Basic MCTS,1,2,2,3,ImprovedBasicMCTS,3,Basic MCTS,ImprovedBasicMCTS,Basic MCTS,Basic MCTS,1
1221272772,SushiGo,3,GAME_OVER,81,0,3,3,Basic MCTS,46.0,35.0,60.0,ImprovedBasicMCTS,Basic MCTS,2,Basic MCTS,2,3,3,1,ImprovedBasicMCTS,1,Basic MCTS,ImprovedBasicMCTS,Basic MCTS,Basic MCTS,2
1803385224,SushiGo,3,GAME_OVER,82,0,3,4,Basic MCTS,51.0,47.0,41.0,ImprovedBasicMCTS,Basic MCTS,1,Basic MCTS,1,2,2,3,ImprovedBasicMCTS,3,Basic MCTS,ImprovedBasicMCTS,Basic MCTS,Basic MCTS,1
900527509,SushiGo,3,GAME_OVER,83,0,3,5,Basic MCTS,53.0,41.0,52.0,ImprovedBasicMCTS,Basic MCTS,1,Basic MCTS,1,3,3,2,ImprovedBasicMCTS,2,Basic MCTS,ImprovedBasicMCTS,Basic MCTS,Basic MCTS,1
-778233772,SushiGo,3,GAME_OVER,83,0,3,6,Basic MCTS,45.0,50.0,41.0,Basic MCTS,ImprovedBasicMCTS,2,Basic MCTS,2,1,1,3,Basic MCTS,3,ImprovedBasicMCTS,Basic MCTS,Basic MCTS,ImprovedBasicMCTS,0
1221272772,SushiGo,3,GAME_OVER,81,0,3,7,Basic MCTS,44.0,37.0,49.0,Basic MCTS,ImprovedBasicMCTS,2,Basic MCTS,2,3,3,1,Basic MCTS,1,ImprovedBasicMCTS,Basic MCTS,Basic MCTS,ImprovedBasicMCTS,2
1803385224,SushiGo,3,GAME_OVER,82,0,3,8,Basic MCTS,40.0,50.0,51.0,Basic MCTS,ImprovedBasicMCTS,3,Basic MCTS,3,2,2,1,Basic MCTS,1,ImprovedBasicMCTS,Basic MCTS,Basic MCTS,ImprovedBasicMCTS,2
900527509,SushiGo,3,GAME_OVER,84,0,3,9,Basic MCTS,40.0,45.0,51.0,Basic MCTS,ImprovedBasicMCTS,3,Basic MCTS,3,2,2,1,Basic MCTS,1,ImprovedBasicMCTS,Basic MCTS,Basic MCTS,ImprovedBasicMCTS,2
-778233772,SushiGo,3,GAME_OVER,82,0,3,10,ImprovedBasicMCTS,44.0,60.0,51.0,Basic MCTS,Basic MCTS,3,ImprovedBasicMCTS,3,1,1,2,Basic MCTS,2,Basic MCTS,Basic MCTS,ImprovedBasicMCTS,Basic MCTS,0
1221272772,SushiGo,3,GAME_OVER,81,0,3,11,ImprovedBasicMCTS,46.0,40.0,32.0,Basic MCTS,Basic MCTS,1,ImprovedBasicMCTS,1,2,2,3,Basic MCTS,3,Basic MCTS,Basic MCTS,ImprovedBasicMCTS,Basic MCTS,1
